刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
我做实验总是失败，已经没有信心了	茫茫人海中，做实验是科学，科学是务实，务实兴邦！实业救国！你是国之幸！肩负责任，保重身体！加油！
睡觉的烦恼	那是楼主思虑过多，但能诸多思虑说明楼主心思缜密，做大事的人都这样啦！
舍友呼噜太响睡不着	那你舍友睡觉的时候是一个合格演奏家呢，买对耳塞吧
很怕上游泳课	想象着以后可以穿着性感的比基尼，在泳池里优雅的游泳，然后吸引一大堆帅哥的目光。你可以的！
一个人在房间里唱歌	呀！声音好听已经是一个美妙的点了呢！还会唱歌，我相信肯定很好听，平时身边的人都没有机会欣赏到你的好嗓音呢！要多交流呀！有闪光点要拿出来嘛！
今天礼让了救护车	四舍五入你救了个人，真棒
演讲比赛卡壳了	你好厉害，我都没勇气去参加演讲比赛
刚刚卸载了知乎	楼主是有思想有自己主见的人，不被网上的真假言论影响，我也想删但是一直不舍得删
每周上六天班好累	起码还有一天休息时间，好好调整方法，迎接新的一周好心情吧
双十一买了好多东西	花钱买自己开心，何乐而不为呢，当然要在自己的经济能力之内就更好了
害怕看恐怖电影	不敢看就不要勉强啊，不是所有人都胆子很大的
嫌弃自己皮肤黑	小麦肤色，代表着健康，身体倍棒
照片隐私被人偷看了	愿意把照片存在手机里，就说明你不害怕被看见，是个坦然诚实的人，心胸宽广一点咯，以后注意做好保密工作
猪肉价格太贵了	吃不起猪肉可以换别的肉呀，另外少吃肉还能减肥，一举两得
公务员的工作很没劲	别人羡慕你这么清闲的工作还来不及呢，实在觉得没劲那就跳出舒适区，追求梦想啊
身高太矮自卑了	这是基因决定的呀，不是你能选择的，尺有所短，寸有所长，你在别的方面一定很擅长哈
程序员吃青春饭很担心未来	现在的事情是做好当下，积累本领和技术，让自己变得不可或缺，以后自然就不用担心了
计算机视觉毕业找不到工作	实在不行也可以考虑开发岗位啊，能在某一方面钻研的很深，换一个领域也肯定没问题的
刚买了几天的耳机丢了	你很有爱心啊！播撒一份耳机，收获穷人一份感激！福报送给有缘人！
不懂边界感	这个不同的人不一样，有的人喜欢有人告诉他怎么做，有的人特别反感，得自行体会吧，觉得别人不开心了就反思下
我要开一间唱片店	有热爱有梦想能付诸行动很不错啊，支持你！有机会去你的城市说不定会去光顾哈哈
上课被提问没能答上来	相信我，坐第一排混个脸熟很重要的。而且这次没答上来问题，更加让老师影响深刻，一定会记住你的。认真听课，下一次争取回答上来，让老师看到你的进步。平时分就妥妥的了。
发烧三天但是每天都坚持去上课	你真的很棒啊那么难受还坚持去上课，抱抱！但是一定要注意自己的身体啊，虽然你很有毅力但是身体最重要啦，下次不舒服及时去看啊！
研三了够呛能毕业	加油鸭，我觉得有问题还是要去找导师哟，你越早去导师越能够帮助你，拖到最后导师可能也没法帮助你了。祝我们都能顺利毕业吧。
终于跟父母吐露真情实感了	理智地沟通是对双方的尊重，楼主你尊敬父母又不失独立思考，争取自己想法，真是新世纪好青年
手机屏碎了	旧的不去新的不来，况且这个屏碎的如此有艺术感，梵高看了都会惊赞的
把手机丢了	消财免灾，希望你接下来都是好运！
一个人坐十一小时火车	好好欣赏路上的风景吧。你是最最强大的小可爱。
假装笑一下	笑着笑着是不是就发现真的很开心了呢
室友把水壶打碎了我给把地收拾好的	你可太优秀了你一定要稍微克制一下自己免得你的舍友为了看到你的优秀天天打水壶
作为一个学英语的人真的看不进英文	没关系，可以从简单的先看起来，你知道自己看不进英语，还在努力想办法改善！是个努力上进的人呢！加油！
中午饭吃多了 所谓心宽体胖	你一定会变得很有福气哒！
今天原谅了惹我生气的人	怼人没什么厉害的，能平静地原谅别人才是厉害的！不在让人生气的事情上花费时间变得更生气是一种智慧，你拥有了这种智慧
拒绝了雄安集团的招聘	你好优秀呀！你选的路一定是最适合自己的路！
买了一个这么超大的棒棒糖	太厉害了吧！那每天都是甜甜的呢！
写了几个月大纲！	小可爱，你已经迈出第一步了，不要放弃的做下去，有了第一步，就有了第二步哇～
学车不送礼，我顶住了	 正义的你真的好棒啊不向世俗低头
喜欢的女生成了别人的女朋友 	你的眼光很棒哦，舍己为人！勇于付出！
感觉父母不喜欢我呢	你成功的超越了他们，让他们嫉妒了！
要考博了害怕找导师签字	加油，你比你想象的更优秀
用小杯子装的扩香石，碰倒了，小杯子也碎了	哇，你这么快就要有新的摆件了，好为你开心
离婚两个多月了，前夫再婚	你很棒了能够坚持自我
试工期不发工资	恭喜你收获了宝贵的社会经验！
意志力全面崩坏	这是涅槃的表现啊
吃了三天泡面了 	90天养成一个习惯，再坚持87天，我看好你哦
山水画整不成，整出幅抽象作品	大师的杰作！艺术的源泉！完美的作品！这幅画表达出了你对这世间山水陆地的想法！桀骜不驯！你是最棒的！
喝多了差点联系前任	你真的好棒，我就做不到，我真的好难过，你太厉害了！我就是理智和情感分不开
表白失败了	已经预料到了你有一段自己蜕变进步的时期！羡慕你会变的更好
生病了一个人去医院看病	你很坚强呀，就算自己一个人去医院也要爬起来过去，有这样的果断力和行动力很棒棒！及时就医很明智！以后要好好照顾自己呀
终于收到面试通知啦	你太棒啦！！！沾沾欧气！！
决定做自己	我觉得做自己是这个世界上最难的事情之一啦你真是太勇敢了。
我做错事情了	我不会勉强的夸你，因为确实是你错了！但你要知道，人生这条路谁都会犯错的，看开点，给大家道个歉，下次一定要努力鸭！
第一次做蛋糕卷	你真的是心灵手巧呢！想当你家邻居。
我觉得好孤独	抱抱你，你超棒！努力就行了，不要太强迫自己呀
不想去考试	没关系啊，你去考了就很棒了啊，别怕，说不定裸考就过了，你那么聪明可爱，你裸考一定可以过的
亲手做的雪花酥	明人不说暗话，你这雪花酥，可以分我吃一点么，嘻嘻，嘿嘿，立正，稍息，敬礼，安静乖巧滴伸出两只爪，坐等投食～
抑郁症十一年	你很棒哦！坚持了这么久，别放弃，大家也都在努力的活着！继续加油
面前摆着很多吃的，我都忍住了没有吃！	好有自制力！棒棒
20道题错了14道心态崩了	加油！每个人都有失常的时候，不必纠结这一次失误，调整好状态，充满自信的你是最棒的！
三天走了五个省	行者无疆，你一定见过很多不同的风景吧
预答辩被夸了	说明你写的很不错呀~真棒~
拒绝了一个表白的女孩子	不暧昧，是对方最大的尊重，你会遇见真爱的。
婚前恐惧症	既来之，则安之....世界上9成人不都结婚吗？有什么大不了的！
我追求了一个触不可及的人	追求的过程中会变得更好，只是拿被子盖住自己保护自己害怕失败，那就越来越胆小
去看电影啦	做自己想做的事，看自己想看的电影，你真的真的很可爱哦。
一边上班，一边复习	你真的很努力了，加油鸭
我补考没过	表扬你，不是人人都可以做到补考的，余敏洪还补考三次考上呢
这么大还像个小孩子一样幼稚	在复杂的社会里还能保持孩子般的纯真，是真的好棒！
面试说错话了	这么直肠子，真性情的人真的很好相处呢！我都想跟你做朋友。
被业务水平不如我的人秒杀	虽然被秒杀了，你还是很积极呀，也没有说别人的缺点，你好棒鸭
嘻嘻攒钱给我妈买了一支口红	你真是妈妈的贴心小棉袄，太棒了
八点半上班摸鱼玩游戏到现在	你忠于一日之计在于晨的真理，并利用珍贵的上班时间也要畅游在人类智慧结晶的海洋中。如果人人能像你一样这样陶醉在真理与智慧之中，单位就会减少竞争和尔虞我诈，社会就会祥和而美丽，世界将会有美好的明天。嗯，诺贝尔和平奖有你一份。
决定以后不结婚了	最重要的是自己活得精彩，结不结婚都是次要的，如果喜欢孩子还可以单身生育呢，希望你继续加油呀
我决定要跟自己不喜欢的人分手！！	太好了，你真是个可爱的人啊，对别人负责更对自己负责
晚上吃超多！	找到让自己快乐又不失态的方式发泄情绪真是太棒了！
跟喜欢的人表白啦	真棒呢～诚实面对自己的感情
考了三次年级第二	你也太厉害了，三次年纪第二，说明你的实力和状态都很稳定。这两样都是你继续向前进的基础。而且恰恰因为你是第二，你更能明确你的前方的目标。所以你以后一定会越来越优秀的，真是羡慕又佩服你。
大二的我开始自己写作业了	不但意识到了之前的不足，还至少在学习上成为了更好的人。自己写作业虽然很难，但是对的起良心，完成之后也非常有荣誉感。加油哦！
自己兼职挣到了5k块	你正走在发家致富的道路上，简直全村的希望，太棒了
长大后买了自己的第一条裙子	真好啊，想到世界上又多了一个青春靓丽的女孩子穿着漂漂亮亮的小裙子，一想到这样的世界就开心了
一学期没和女生说话了	这么单纯可爱的男孩子是真实存在的吗，如果我在你身边肯定会忍不住探寻这么温柔沉静的男生宝石般的内心呀！
参加一个面试，被当场拒掉	面对这种委屈都能控制的不当场爆发，真的是情绪管理的高手；不一味憋屈，同时懂得到合适的渠道去抒发。真的是一个令人喜欢的情绪控制小达人。知道你会很快处理好这个情绪，所以也一点都不担心你。加油继续找工作。
被一个初中生骗了	虽然你被骗了15块，可是你增加了社会互助风气；而且我相信你就算觉得他是骗子，你也会借，因为善良的你害怕拒绝对方后良心指责。
家里负债太多	没有任何人的人生是一帆风顺的，但是困境一定会有过去的时候，所以你一定要鼓起勇气，坚强的面对生活，总会有柳暗花明的那一天，加油。
工作变动，不习惯	有勇气去挑战未来，多好一件事，加油！
我上台演讲了	你能站上去已经很好了，我就特佩服能在很多人面前演讲的
找到新工作了	加油呀，现在找工作形势很严峻的，你还能找到工作，真是非常了不起！
高三在家自学，很焦虑	你真的很厉害，一边又要打败抑郁怪兽，一边又要对付高考魔王，就算结果没有那么完美，你也是了不起的英雄，两个一定都能打败的，我给你摇旗助威，我陪你一起走到底，好不好，一定要坚持下去噢！一定可以的！
不做讨好型人格了	敢于说不表明了你卓尔不凡的勇气，也是你向关怀自我迈出的重要一步。不忘初心，再接再厉，勇于拒绝，关爱自己。今天的你很优秀，以后也请继续优秀下去。
忍住不吃宵夜	你好有毅力，要坚持哦！
特别爱脸红	你好可爱呀！我这样夸你，你是不是也脸红呢了
丧到不得了，哇的一声哭出来	哭出来并不代表懦弱鸭想哭就哭想笑就笑，没什么大不了抱抱宝贝，摸摸头乖噢
我没有女朋友	你看，没有女朋友，你还能这么开心，这就是你与众不同的地方！国家还没规定一定要求找伴侣呢，开心最重要。还有，你有不随波逐流的勇气，这可不是一般人能做到的哦，为了恋爱恋爱，为了结婚而结婚，这些人真的太多了，而你，确实这一片混沌中的清流，羡慕加敬佩！！希望越活越精彩！！
我去炸鱼了	自食其力，有先投入再获得的觉悟，很不错哦小可爱。建议你拨打110分享下你的行为呢！相信会有很多支持你的人来找你呢！
我说错话了	你知道了自己说错话，这可能意味着你下次就会注意说话的方式，会让自己变的更加严谨，这难道不是自己工作的一种进步么，对吧！！而且，谁不是在错误中成长呢，一直不犯错的人，那是假人吧！而你是有想法、有激情的年轻人，以后还会更好！！加油哦！
上班连续迟到半个月了	一个不安于规矩的年轻人，是特别富有创造性思维的人，打破常规的人，而有毅力做这样的事，你在压缩自己工作时间的同时也表示你是一个工作高效的人，当然公司只能用金钱关系来保持和你的关系，因为有能力的人总会难以挽留，请原谅它的无可奈何，粗俗鄙陋
读了一章英文教材	棒棒哒！会读英文教材的你真优秀！
每天跑步打卡！	能坚持真棒！
找不到工作怎么办	那些垃圾公司配得上高贵的你吗？你扪心自问三下！！！
十年美术生画了个什么	这是别人不懂欣赏，看看这笔法下笔如有神啊，走的线条真的是无比的精妙。妙笔生花说的是你本人，点睛之笔一定是这个眼睛了，炯炯有神看似木讷，实则放出一股精光，乃是大智若愚的表现。这幅画给我的感觉就是大鹅岂是池中物一遇风云便化龙啊！
我相信我会成为流星	希望那一天我可以仰头欣赏到你
喜欢简单的生活	偷得浮生半日闲
我们公司一直亏损	不管怎么样，心态很好，开心就是给全人类做贡献！
女生，喜欢女生	有喜欢的人是件很幸福的事，与性别无关，女生可以喜欢女生，男生也可以喜欢男生
性格不合，还爱着但主动提分手了	真棒，对待事情果断！坚定的做出的选择。
我一直好丧啊	总是有丧的时候啦，不过日子肯定会好起来的！给你一个抱抱！好好睡一觉起来明天又是美好的一天鸭！！(´▽`)ﾉ
我控制住了没有吃饭	今天没有吃的饭，会在明天变成你的美。今天的你不仅离完美身材越来越近，也再次展示了你超乎常人的毅力。你少吃一顿，非洲的饥饿儿童就多吃一顿。这是你个人奋斗的一小步，也是整个人类文明进步的一大步。
加班到现在，才下班	太棒了！努力工作的人非常有魅力
别人都在说好的，我却觉得没那么好	对，就是要有自己的看法。不要随大流，或许大部分人说好，但是不符合自己的预期和审美，那就是不好的。
背了十个单词	你今天在英语上也进步了一点点，向目标跨进了一点点啦！你好棒！
数学成绩没及格	否极泰来你相信吗，羡慕你还在上学，我要是回到你这个时候有多少机会选择可以重来呀，棒棒哒
在废物里算是还可以的吧	人总是可以找到自己的优点啦！你才不要想自己是废物勒，肯定只是一时没找到自己的闪光点而已啦！加油！
感觉崩溃边缘	亲爱的你，现在的状态可能并不如你所愿，可是你能分析出学习、工作、情感里面的问题那也很棒了！事多我们可以一步一步来，你自己有上进之心了，其他还有难事么！找出问题关键，一一解决之后，你将会看见不一样的天空，不用怀疑，你肯定可以的！加油！！！
减肥失败了	比起美食，减肥算什么呢？做得一手好菜的你，正是大家都喜欢的小可爱呐
生活好糟糕呀	要一步一步来呀我们都是这么走过来的加油！未来很幸福
努力过了的一天	不要去考虑那么多，慢慢努力的你已经很棒了，生活就是要开心阿，拥抱坚强的你。
我的晚餐之作	一个人吃不点外卖能自己下厨做饭我觉得超级厉害了！！！
第一次画油画	第一次画就可以这样吗？我也想去试试了
视频投稿，浏览量不高	争取做更好哦！一股脑去做就开始启程啦。不要害怕尝试哦！
拖着疲惫的身体来健身了	已经很累了还能坚持健身！楼主好有毅力啊！真棒👍🏻
要上高数课，可是我不会	不会还要去，说明了你对知识的渴望。加油！
登记了器官捐献	哇！你也太棒了！真是一个爱心满满的可人儿！
有点莫名心烦	你有些烦的样子也这么迷人，请收好你那无处安放的魅力。
我终于瘦了	有毅力，能坚持，有决心，自制力强，这是什么神仙小可爱啊
坚定地拒绝了别人	这一刻，你异常的美丽，异常的动人，别人也被你惊艳到了。优秀💝
我是不是真的很差劲	拼命争取并且得到了，很棒了啊！你一点也不差劲，不同的人会有不同的评判标准，我觉得你很棒，并且会更棒
穿了一天高跟鞋	是多么完美的脚才能穿上高跟鞋呀，真羡慕你这个小可爱
周六考试，冲呀	你真厉害！学霸最帅！
蛋糕切的非常整齐	究竟是多么精巧的手才能完成如此壮丽雄伟的杰作，啊，那一定是被天使吻过的手!
辞个职被人说太优柔寡断	过往，总是让我们怀念与不舍；未来，总是让我们期待又恐惧；十字路口处，我们总是纠结自己该往哪里走。而这一切，不过是人之常态而已。你的优秀与不舍，相信大家都懂。但变化才是人生的主旋律，因为改变能带来新生，所以，顺着自己的心大步向前吧！正所谓：不念过往、不畏将来
面试失败了	你能屡败屡战，这种坚韧的性格很好呢，你能在失败后有自责的情绪并且反思自己，还能有勇气再接再厉，面对现实，这一点上你已经超越了极大多数人。不是我想夸你，你真的相当不错，兄弟，你并不是没有能力，而是你足够重视，而导致失去了一颗平常心。加油，冲！❤
在星巴克，做完了一套卷子！	能够在嘈杂的环境静下心来做题，说明你本身是具有良好心态和心情控制能力的女孩子。会总结答题的方法，又兼顾了聪慧和细心，也许身边帅气的小哥哥在偷偷看着你，不仅漂亮还很可爱，不仅欣赏，看着你也让他们更开心。你积极的行动感染了周围的人，带给大家积极阳光的心态，今天就快要吃晚饭了，充实的一天，好好犒劳自己，明天继续加油鸭！
我要夸一夸你	谢谢你这么懂得分享，我也被你的爱保护着。谢谢你把爱继续传递，可爱的你。
我想平淡地一个人生活	做自己，是这个世界上最了不起的事。
站着玩了一个小时手机	体力不错啊，很有耐心，这么有耐心以后一定是个做大事的人。
刚写完屁屁踢，求表扬	你好厉害呀，真有斗志，一定会过得很幸福的将来。
生活好难啊	谁人生还没有个低谷呢！重要的是不要因此否定自我，你已经努力了80%，再努力一点！用尽全力去努力！！
面试又没过	肯定是之前面试的工作都不合适优秀的你啦。你这么棒，即使受挫也不灰心，仍然在继续努力参加面试。反复面试的过程中，你也在不断的成长。一定会有更好的工作正在等待优秀的你的！
突然之间不想工作	想想那些还在找工作的人，就会发现你已经很棒啦
做了一个超级甜的歌单	啊啊啊啊好甜！歌单那么甜，你人也一定很甜~
肥宅马上要去运动了	坚持下去，你一定能瘦成一道闪电的！我看好你哟！
销售业绩一直垫底，坚持不下去，又不想放弃	不放弃说明你有一颗积极向上不服输的心，有这种心态做什么都能成功，加油
面试被问成绩我说了实话	你这样回答，能让对方感受到你的真诚和踏实，而这正是现在这个浮躁的社会缺乏的品质。
毕业论文写不动了，好焦虑啊。	对啊，恭喜你体会到了百味人生的第一口滋味，但是也会有收获的，加油吧！
完全不想工作，只想摸鱼，还有救吗？	勇于把这种内心状态说出来已经是迈出第一步了，小可爱加油！
不喜欢现在的工作	能够清楚的区分喜欢不喜欢，也是一件很棒的事情，可以看出你是一个渴望上进的人，有时候目前的工作是无奈或生存的选择，希望你能够找回自己，努力去学习新的东西，一定会有新的机会在前面等你～时间不会辜负努力和清醒的人
想要设立的基金失败了	起码你有动力去设立基金呢～像我连怎么去设立都不知道～再多努力试试看吧～不要心急～
旷课一个人出去玩了一天，求表扬	人生数载，就要多去尝试，小小年纪有说走就走的胆识注定不平凡，未来可期
我又迟到了	尽管已经赶不及了，你还是去上班了！！这样的敬业精神怕是全球也无几吧！！
我养成了爱抱怨的习惯好难受	会抱怨也是一种生活态度，表扬
我早饭吃了三个鸡蛋	好厉害！蛋白质对身体好！又是元气满满的一天！
我买了3本书	看书是一件积极的事，能够看出来你有很好的行动力，你的生活一定会因此而更加美好。
我把游戏卸载了	优秀！自制力极强，在人生道路上一定可以超越所有人走上人生巅峰！
认真工作的一天	认真的羡慕这种心态！
打算从明天开始戒糖了	我觉得不一定要戒掉糖，适量少吃也是没问题的。但是你能下这个决心也是很厉害了
双相情感障碍的我克服了焦虑	你今天特别棒！我知道对于现在的你而言，跨出这一步有多不容易。为你感到高兴，同时也在你这受到了启发，的确我们不是人民币不可能让人人都喜欢，所以有人不喜欢我们并不一定就是我们的错。
实习什么活儿也没有	棒棒哒！一方面你的云淡风轻，平淡处之的生活态度让我欣赏、让我羡慕，另一方面你的不甘平庸，锐意进取，奋发图强的精神，真是公司的楷模啊！
芝麻信用突破800分啦	天啦～说明你是一个超守信用的人诶
在开狗屁会议	天呐！你竟然能忍得住狗屁会的味道，而且还能享受得了彩虹屁的熏陶，你日后定会飞黄腾达！
我不是很酷	怎么会！！集萌系与酷系于一身。你就是人群中最酷的仔，我要给你买条该！
缓慢而坚定地去做自己能的事	你很棒呀，缓慢而坚定地前行~
活着真是个奇迹	我们都是奇迹的创造者伟大者呢
一天都要在图书馆学习	你这么用功的人一定会暴富
我两节高数课都没有玩手机没有睡觉没有聊天	高数课都听下去，以后必定在学业上大有进步，估计以后你们院长都要向你请教问题
今天过生日	生日快乐！！！
终于毅然决然的从无德公司辞职了	够果断，让你不开心的就远离。
昨天放弃了一个爱而不得的人	懂得坚持也懂得放弃，真的是充满智慧的人啊。在该坚持的时候决不放弃，是一个不会让自己因为没有行动而留下后悔的人；在该放下的时候，毫不犹豫，是一个不会再错的方向一再固执的人。
不上班，上吐下泻到现在	你的身体正在努力帮你把不好的东西赶走呢，真是尽职尽责又反应灵敏的好身体。
退了喜欢的部门	退一定有退的原因和考虑噢，也许是你没有意识到的，但往往是为了更好的未来而做出的考虑和决定～所以不用觉得后悔。
忘记穿内衣	内衣可有可无，自信的人不借外物。
觉得自己真勇敢	厉害厉害，我就从来都不敢，羡慕。
我上课又睡着了	能坐在教室里睡觉真的是一件很幸福的事情。
在图书馆负二楼的乒乓台上学习	为自己开拓了新的学习场地，也是一名积极有趣的同学喔。
求学路艰辛到想哭	再艰苦你也坚持求学，上进的同学一定会有所成就的。
正在减肥，很想吃汉堡王	你没有直接去吃，而是克制自己，这种能力很棒阿～你一定能减肥成功的。
好冷啊冻死了	明明是说天气冷，照理说会说冷死了，却偏偏用了一个冻死了来避免重复，既表达了此时此刻身体的感受，又彰显了自己对文字的细致拿捏和打磨，如果你去做语文老师，当地高考入榜率肯定会翻番，加油！
一上午都在好好自习没有碰手机	你很棒，有自律能力。也必然是能抵挡诱惑，清楚自己在做什么的人
我已经坚持减肥八天啦	不错，连续坚持这么多天很厉害，继续努力，越努力，越幸运。
刚刚辞职了！！！	你是我见过最有勇气最有魄力的人！！敢于辞职说明对自己的目标很明确！行动力也超强。
我特别敏感怎么办	观察细致入微，一定是个非常细心的人。值得表扬
中午买了一大盒草莓，求表扬	多吃水果对身体好爱自己的人很可爱
第一次吃青菜，吃了好多	爱吃蔬菜的都是最可爱的宝宝！
买彩票，一个号都没中	运气很珍贵，彩票没中没关系，佛祖会把运气安排到你更重要的地方。
刚从医院回来	可以自己选择去解决问题，而不是逃避，你真的是个挺积极向上的人啊，生活肯定会越来越好的。
跟经理谈了薪资问题	真是一个很勇敢的人呐，敢于直面上司选择解决问题，很令人羡慕哈，一定会越来越好的。
把朋友圈关了	很有决断力，赞！
财务离职，决定转销售了。	懂得自己的局限，懂得挑战自己，年轻人就应该向你学习。有责任敢，还很勇敢拼搏，哪家公司录用你，绝对业绩蹭蹭蹭呐。
彻底不当舔狗了	今天她对你爱搭不理，明天你让她高攀不起！
这个周加班真的好累啊	就算很累也在努力加班，很敬业呀！不过也可以和领导说说看，有的时候会让你休息一下的呢！祝你能够获得工作与休息的平衡，有快乐的生活！
英语阅读不会做	你一定是做了，又思考了一番，才下了这个结论。你一定是一个知难而上，又善于总结的人，这样的人一定能够学好想学的东西的！
早上翘了两节大课现在三四节课也不想上了	敢翘课说明你有自己的想法，相信你花同样的时间自己学习比听老师讲课的效果会更好呢，加油哦~
去图书馆写作业，但是玩手机了，比预定的计划少完...	别人去图书馆不是蹭网就是蹭空调，但你只是玩了手机。你想想，别人跟你在思想上的高度的差距！况且你还完成了别的计划，简直是学霸中的学霸好吗？千万不要自责，明天接着去玩手机，完成剩下的任务！加油，未来之星
果断的结束了一段恶性循环的关系	真是一个酷酷的决定
社交恐惧症的自己今天第一天上班	每个人的勇敢都是不一样的，只要自己走的每一步足够坚定就无所畏惧。
玩了快两节课手机刚刚看了三分钟书就都看懂啦！	太聪明了，不过要加油运用天分喔。
放反琴谱了	哈哈哈你好棒，放反琴谱也能弹，说明你识谱能力非常了得呀。
我在治愈自己	这样温柔地治愈自己也太棒了～啊真是一个温柔的人～
我要有自己的家了。	一定可以顺利的！很棒！
硬盘烧坏了	辞旧迎新，你的生活将会变好哒！
我笑点超低	促进国产喜剧电影的发展，你功不可没。
又没有练吉他	今天是你放松身体，不强迫自己的一天。
每天都只是单调的学习	作为学渣的我不想表扬你了，明明天天拼命学习还说没有做过令人称赞的事情，一拿起书就犯困的我需要责备一下你这个学霸了，再见。
我又熬夜了	说明你精力特别旺盛，一定能成一番大事！
喝了好多水	真棒真棒，是个水灵灵的人了。
坚持喝牛奶的第二天	牛奶对身体很好哒！你会变得更加健康哦！
不看八卦新闻小说了！	这就是一个超棒的开始呢！懂得自省的人一定是一个超级棒的人，加油呀！
学习了两个小时！！！	自律的你真可爱
申请哈佛的博士被拒了	有胆量申哈佛，已经比很多很多很多很多人优秀了
努力克服社恐	你真棒！有勇气去突破自己就已经很厉害了！！你要把自己当成这世界上最珍贵最宝贵的珍宝，蔑视其他人对你造成的伤害吧。
修改完论文初稿	这么厉害！终于可以好好休息一下了！你好棒呢！
再次图书馆	奋发图强，埋头苦干，取长补短，如饥似渴的补充能量的你是那么的光彩耀人，我相信你闭关修炼成功后，名满天下，指日可待啊。
挂科太多今天收到成绩警告了	种一棵树最好的时间是十年前，其次是现在。所以，现在加油也不晚呀。
脱衣服把衣服撑破了	真棒，你帮大家看到一件质量不好的衣服，以后就不会有人踩坑了，真是个乐意助人的孩子呢。
今晚写了一篇日记。坚持了十几年了。	能坚持做一件事情是件了不起的事呢^^
我今天哭了呢	能在浮华虚伪的世界勇敢表达自己的内心，不得不感叹这是怎样一种勇气！
我改掉了晚睡晚起的毛病	你好棒棒呢！早睡早起人生都变充实了，一定会越变越美的！
我带的班成绩最差	可能你教不出成绩最好的学生但一定能教出最善良的学生。
我好像没什么优点	没有没有优点的人，说自己没有优点实在是太谦虚了！
表扬了很多人	棒棒的！你是温暖的小太阳！
无助发泄一下	你真的很棒，虽然暂时状态不好，但你一直在努力，你行的。
结识一名可爱姐妹！	能在茫茫人海中遇见另一个知己太不容易了!真的是幸运的小可爱
我要努力把体重控制在90斤以下！	能够控制体重的人，能够把生活也管理得井井有条。相信不远的将来，你的生活不但美丽，而且充满激情与效率！(ง•̀_•́)ง
买了三个月的华为手机摔碎了	创造需求以此激励自己努力工作真是个小聪明鬼！
觉得自己脑子不好使	这叫大智若愚，你可以获得神秘的人生buff加成，体会到小天才们体会不到的神秘快乐与完美体验！
一天打3份工，艰难的活着。	这么努力这么坚强真是太优秀了！
每天坚持练习一点点，一定会有改变的	绳锯木断，水滴石穿，你一定会成功的哦。
我失业三个月了	没有工作仍旧好好生活的你最值得表扬
我被离职了	感谢青春，给你一具熊熊燃烧的躯体，感谢时代，给你一处尽情耕耘的庄园，感谢挫折，把你的双手锻造得刚劲有力，感谢苦难，浇筑出你不屈不朽永不言败的灵魂！
我孤僻喜静不合群	哇！多独特的灵魂！不合群的人都是可以自己给自己提供能量的小可爱，太酷了！
考试忘记报名了	可能命运给你安排了一条更适合你的路呢！
代码写不好，写不出来难受	能写代码的都不是一般人，冷静，思绪在路上
啥事也没做就过了一天	什么都不干也，减少能量消耗，可以节省社会资源，说到底，是把资源让给他人，是一个无私奉献的精神
没忍住揍了两个熊孩子	打得好，有一天他会感谢严厉的你。
四六级全裸考过了	哇哦！你就是我大学最崇拜的那个仔~
工作遇到瓶颈	能有面对困难与挫折的勇气，你已经很棒啦。
上古汉课被表扬辣！	古代汉语课能被表扬的都是真学霸，要一起探索小学吗？
我昨天一滴泪也没有哭	你在长大！明白哭并不会解决问题～你是最棒的！！！
今天吃食堂	放弃了外卖的精致选择了食堂的粗糙由奢入俭难真棒！
上课玩手机	上课照顾了老师的面子，玩手机照顾了自己的内心，你是个人际关系处理的如鱼得水的人。
我今天又是早起跑步的一天	超棒啊！这样一天可以多出很多时间。
上课打游戏	能感受到你是个机智的小可爱，在精神紧绷的状态下顶着被老师发现的压力，依然得到良好的发挥，你就是明日之星
总是笑出猪叫求表扬	从笑升腾到猪叫的瞬间，是一种质变，是最畅快最辉煌最绚烂的现身，好似从温柔的水波里溅起的浪花，有了浪花的灵动，才更显水波的温柔，而温柔的笑也因猪叫而更畅快而豁达，而走向明朗的四方。
剁手党一咬牙把花呗关了！	很厉害自制第一步以后会越来越好的！
今晚分手了	看来老天已经为你遇到真正合适的对象做足了铺垫
想要一缕阳光	厉害，每一个独立的人都值得夸赞，纵使世界被黑暗淹没，只要心存阳光，就没什么能打败你，祝你可以做自己的阳光彩虹小白马
一条牛仔裤穿了连续一个月	低碳，又不多花钱，节俭典范
下雨了心情不好	感受力这么强的你一定也能体验到更多快乐哦！
两点了太饿了点了外卖	亲爱的你好棒你为拉动祖国GDP做出了贡献
早上起不来	当你不想起床时，全世界都在帮你～真好。
今天又去献血了	量力而为，做些力所能及的小事，利人利己也是可以的呢。你也超棒哦。
两个半月瘦了15斤	能够掌控体重的人，肯定也能很好地掌控人生呀。
得到了offer又黄了，我真棒棒呀。	再入职之前就慧眼如炬地避开了渣公司厉害极了！
工作没动力啦啊啊啊啊啊啊啊	所谓“天降大任于斯人也，必先苦其心志劳其筋骨。”政策调整、搭档离职，老板施压，这些就是上天派来“苦你心智劳你筋骨”的啦！这种艰苦不是谁都可以承受的呢，但如若你觉得“局势不如从前，不值得留恋”，另做打算也不无不可。每个人身上都有积极情绪，及消极情绪，坦然面对自己的所有情绪。
